COUNTRY,MA_ID,NAME,LON,LAT,DESIG,LEGAL,DESIG_TYPE,DOMAIN,STATUS,DATE_ESTAB,AREA_R_HA,MARIE_R_H,MGT_PLAN,IUCN_CAT,INTL_CONV,STATE_PROV,ZONES,NO_TAKE,NO_TK_R_HA,MGT_MODEL,MGT_EFF,SOURCE,NOTES,CONSENT,CTMPAS_CAT,VALIDATED,VALIDATED_BY,VALIDATED_ON,HAS_POLY
"Indonesia","1015911","Kawasan Konservasi Karangasem","115.63696090","-8.39983992","Province Marine Protected Area","KEPMEN KP NOMOR 123 TAHUN 2023","Provincial","Marine","Designated","2023-01-12",5478.41,5478.41,"Yes","Unknown","","Bali","Yes","Part",,"EVIKA","Strengthened","","","Yes","Category 2","False","IDNMPA","","True"
"Indonesia","1015910","Banyuwangi Marine Conservation Park","114.39926147","-8.14515521","Province Marine Protected Area","KEPGUB JATIM Nomor 188/569/KPTS/013/2018 tanggal 10 Oktober 2018","Provincial","Marine","Designated","2018-10-10",111.10,111.10,"Yes","","","Jawa Timur","Yes","",,"EKKP3K","Strengthened","","","Yes","Category 2","False","","","False"
"Indonesia","1015909","Tulungagung Marine Conservation","112.99163818","-8.42129652","Province Marine Protected Area","KEPGUB JATIM Nomor 188/569/KPTS/013/2018 tanggal 10 Oktober 2018","Provincial","Marine","Designated","2018-10-10",217.00,217.00,"Yes","","","Jawa Timur","","",,"EKKP3K","Strengthened","","","Yes","Category 1","False","","","False"
"Indonesia","1015908","Gili Ketapang Marine Small Island Conservation ","113.25187683","-7.67778502","Province Marine Protected Area","KEPGUB JATIM Nomor 188/569/KPTS/013/2018 tanggal 10 Oktober 2018","Provincial","Marine","Designated","2018-10-10",347.07,347.07,"Yes","","","","Yes","",,"EKKP3K","Strengthened","","","Yes","Category 2","False","","","False"
"Indonesia","1015907","Kawasan Konservasi Maritim Hmas Perth Di Perairan Provinsi Banten","106.12547420","-5.85940583","Province Marine Protected Area","KEPMEN KP NOMOR 21/KEPMEN-KP/2018","Provincial","Marine","Designated","2023-01-12",99.94,99.94,"Yes","Unknown","No","Banten","Yes","Part",,"EVIKA","Strengthened","MMAF","","Yes","Category 2","False","IDNMPA","","True"
"Indonesia","1015906","Pulau Batang Segama Marine Conservation","106.29574500","-5.07979700","Provinve Marine Protected Area","KEPGUB LAMPUNG G/585/III.17.HK/2015","Provincial","Marine","Designated","2015-01-01",14569.30,0.00,"No","","","Lampung","","",,"EKKP3K","Unrated","","","Yes","Category 1","False","","","False"
"Indonesia","1015903","Tuing Marine Conservation Area","105.92468262","-1.47859535","Province Marine Conservation Area","KEPGUB Kep. Bangka Belitung Nomor 188.44/739/DKP/2018 tanggal 27 September 2018","Provincial","Marine","Designated","2018-09-27",9809.56,0.00,"Drafted","","","Kepulauan Bangka Belitung","","",,"EKKP3K","","","","Yes","Category 1","False","","","False"
"Indonesia","1015902","Kepulauan Aruah Marine Conservation","100.60359800","2.84888500","Province Marine Conservation Area","KEPGUB RIAU Kpts.863/XI/2017 tanggal 6 November 2017 ","Provincial","Marine","Designated","2017-11-06",23481.32,0.00,"Unknown","","","Riau","","",,"EKKP3K","","","","Yes","Category 1","False","","","False"
"Indonesia","1015901","Indragiri Hilir Marine Conservation ","103.87573242","0.16259797","Province Marine Conservation Area","KEPGUB RIAU Kpts.863/XI/2017 tanggal 6 November 2017 ","Provincial","Marine","Designated","2017-11-06",205595.64,0.00,"Unknown","","","Riau","","",,"EKKP3K","Established","","","Yes","Category 1","False","","","False"
"Indonesia","1000195","KKP-23 Aceh Tamiang","98.17999221","4.50215064","Province Marine Protected Area","PERDA PROVINSI ACEH NOMOR 1 TAHUN 2020","Provincial","Marine","Proposed","2020-12-12",119.25,119.25,"No","Unknown","No","Aceh","No","",,"EVIKA","Unrated","MMAF","","Yes","Category 1","True","idnmpa","","True"
"Indonesia","1000194","Aceh Selatan","96.98480000","2.21010000","Local","Governor Decree of Aceh Number 523/1297/2018 tanggal 26 November 2018","Provincial","Marine","Designated","2018-11-26",3590.34,3590.34,"Drafted","","CBD, Aichi Target, SDG 14","DIY Aceh","","",,"EKKP3K","Established","Ministry Marine affairs and Fisheries","","Yes","Category 1","False","idnmpa","","False"
"Indonesia","1000193","Aceh Barat Daya","96.72520000","3.67710000","Local","Governor Decree of Aceh Number 523/1297/2018 dates 26 November 2018","Provincial","Marine","Designated","2018-11-26",16017.34,16017.34,"Drafted","","CBD, Aichi Target, SDG 14","DIY Aceh","No","Unknown",,"EKKP3K","Established","Ministry Marine affairs and Fisheries","","Yes","Category 1","False","","","False"
"Indonesia","1000192","Rupat Utara","101.50440000","2.08450000","Local ","Governor decree Kpts.565/II/2019 tanggal 15 Februari 2019","Provincial","Marine","Designated","2019-02-15",15547.00,15547.00,"No","","CBD, Aichi Target, SDG 14","Riau","No","",,"EKKP3K","Established","Ministry Marine affairs and Fisheries","","Yes","Category 1","False","idnmpa","","False"
"Indonesia","1015900","Maluku Tenggara Barat Marine Conservation Area","131.40000000","-7.22100000","Province Marine Conservation Area","Keputusan Bupati Maluku Tenggara Barat nomor: 523-246 Tahun 2016","Local","Marine","Designated","2016-03-31",783806.00,0.00,"Drafted","","","Maluku","","",,"EKKP3K","","","","Point only","Category 1","False","","","False"
"Indonesia","1015700","Halmahera Selatan Conservation Area (Widi Island)","128.51000000","-0.60000000","Province Marine Conservation Area","Keputusan Gubernur Maluku Utara Nomor 251/KPTS/MU/2015","Provincial","Marine","Designated","2015-12-16",7690.00,0.00,"Unknown","","Unknown","","","",,"EKKP3K","Unknown","","","Point only","Category 1","False","","","False"
"Indonesia","1015600","Liang and Ngali Island Marine Conservation Area","117.68000000","-8.52000000","Province Marine Conservation Area","KEPGUB NTB Nomor 523 - 640 Tahun 2018 tanggal 3 Agustus 2018","Local","Marine","Designated","2018-08-03",33461.00,0.00,"Yes","","Unknown","Nusa Tenggara Barat","Yes","",,"EKKP3K","Unknown","","","Yes","Category 1","False","","","False"
"Indonesia","1015500","Taman Pesisir Penyu Lunyuk","117.10000000","-9.09500000","District Marine Conservation Area","Keputusan Bupati Sumbawa Nomor 1212 Tahun 2014","Local","Marine","Designated","2014-12-13",72415.29,0.00,"Unknown","Unknown","Unknown","Nusa Tenggara Barat","","",0.00,"","Unknown","","","Point only","Category 1","False","","","False"
"Indonesia","1015300","Jeen Womon","132.86000000","-0.40900000","Province Marine Conservation Area","MMAF Decree No. 53/KEPMEN-KP/2017","Provincial","Marine","Designated","2017-01-01",32250.86,32250.86,"Yes","Unknown","Unknown","West papua","Yes","Unknown",,"EKKP3K","Strengthened","MMAF and MoF","","Yes","Category 1","False","idnmpa","","False"
"Indonesia","1015200","Nunukan Marine Conservation Area","117.38000000","3.91300000","Province Marine Conservation Area","SK Bupati No No.44 tahun 2007","Provincial","Marine-Terrestrial","Designated","2007-02-02",200.00,0.00,"Unknown","Unknown","","East Kalimantan","Unknown","Unknown",,"EKKP3K","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015100","Sidoarjo Small Island District Marine Conservation Area","112.88349152","-7.57313558","District Marine Conservation Area","KEPGUB JATIM Nomor 188/569/KPTS/013/2018 tanggal 10 Oktober 2018","Local","Marine","Designated","2018-10-10",72.32,0.00,"Yes","Unknown","Unknown","East Java","Yes","Unknown",,"EKKP3K","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1015000","Teluk Kiluan Marine Recreation Park ","105.13000000","-5.79100000","Province Marine Conservation Area","KEPBUP Tanggamus No: B.399/32/11/2014","Provincial","Marine","Designated","2014-11-11",76214.33,0.00,"Yes","Unknown","Unknown","Lampung","Unknown","Unknown",,"EKKP3K","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1014900","Kawasan Konservasi Karang Sugali","109.43287230","-6.76459054","Province Marine Protected Area","PERDA PROVINSI JAWA TENGAH NOMOR 13 TAHUN 2018","Provincial","Marine","Proposed","2018-01-12",1083.89,1083.89,"No","Unknown","No","Jawa Tengah","No","",,"EVIKA","Unrated","MMAF","","Yes","Category 1","True","IDNMPA","","False"
"Indonesia","1014800","Minahasa Utara Marine Conservation Area","124.97000000","1.46500000","District Marine Conservation Area","KEPGUB SULUT Nomor 407 Tahun 2018 tanggal 15 Oktober 2018","Local","Marine","Unknown","2018-10-15",26524.87,0.00,"Unknown","","Unknown","North Sulawesi","Unknown","Unknown",,"EKKP3K","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1014700","Barru (Pulau Pannitiang Coastal and Small Island)  Marine Conservasion Area","119.76000000","-4.56200000","Province Marine Conservation Area","KEPGUB SULSEL 2944/XI/2018 tanggal 8 November 2018","Provincial","Marine","Designated","2018-11-08",605.94,0.00,"Unknown","Unknown","Unknown","South Sulawesi","Unknown","Unknown",,"EKKP3K","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1014600","South East Sulawesi (Kota Kendari, Kabupaten Konawe, dan Kab. Konawe Selatan) District marine COnservation Area","122.55000000","-4.01100000","Province Marine Conservation Area","KEPGUB SULTRA 98 Tahun 2016","Provincial","Marine","Designated","2014-06-18",21786.14,0.00,"Drafted","Unknown","Unknown","Southeast Sulawesi","Unknown","Unknown",,"EKKP3K","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1014500","Kawasan Konservasi Pesisir Dan Pulau-Pulau Kecil Donggala, Buol, Tolitoli, Dan Perairan Sekitarnya Di Provinsi Sulawesi Tengah","120.60741000","1.07172876","Province Marine Conservation Area","KEPMEN KP NOMOR 50/KEPMEN-KP/2019","Provincial","Marine","Designated","2019-01-12",60042.72,60042.72,"Yes","Unknown","No","Sulawesi Tengah","Yes","Part",,"EVIKA","Strengthened","MMAF","","Yes","Category 2","True","IDNMPA","","True"
"Indonesia","1014400","Kawasan Konservasi Bangka Selatan","106.92243820","-2.87532361","Province Marine Conservation Area","PERDA PROVINSI KEPULAUAN BANGKA BELITUNG NOMOR 3 TAHUN 2020","Provincial","Marine","Proposed","2020-01-12",92511.90,92511.90,"No","Unknown","No","Kepulauan Bangka Belitung","No","",,"","Unrated","EVIKA","","Yes","Category 1","False","","","True"
"Indonesia","1014300","Kawasan Konservasi Perairan Belitung Di Provinsi Kepulauan Bangka Belitung","107.44050950","-2.98059076","Province Marine Protected Area","KEPMEN KP NOMOR 94/KEPMEN-KP/2020","Provincial","Marine","Designated","2020-01-12",391820.23,391820.23,"Yes","Unknown","No","Kepulauan Bangka Belitung","Yes","Part",,"EVIKA","Strengthened","MMAF","","Yes","Category 2","False","IDNMPA","","True"
"Indonesia","1014200","Bantul Coastal and Marine Conservation Area","110.25867800","-8.00235000","Province Marine Conservation Area","Nomor 284 Tahun 2014","Provincial","Marine","Designated","2014-04-28",182.00,0.00,"Unknown","Unknown","","DI Yogyakarta","Unknown","Unknown",,"","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1014100","Kota Bitung Coast and Small Island Marine Conservation Area","125.24300000","1.45100000","Province Marine Conservation Area","SK WALIKOTA Bitung Nomor 188.45/HKM/SK/121/2014","Provincial","Marine","Unknown","2014-01-01",9647.00,0.00,"Unknown","Unknown","Unknown","North Sulawesi","Unknown","Unknown",,"","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1013900","KKP-01 Melaya Jembrana","114.47749940","-8.27755142","Province Marine Protected Area","PERDA PROVINSI BALI NOMOR 2 TAHUN 2023","Local","Marine","Proposed","2023-01-12",1168.12,1168.12,"Unknown","Unknown","Unknown","Bali","No","",,"EVIKA","Unrated","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1013800","Kawasan Konservasi Di Perairan Di Wilayah Pulau Panjang Provinsi Jawa Tengah","110.63323560","-6.57998246","Province Marine Conservation Area","KEPMEN KP NOMOR 77 TAHUN 2022","Provincial","Marine","Designated","2022-01-12",494.25,494.25,"Yes","Unknown","No","Jawa Tengah","Yes","Part",,"EVIKA","Strengthened","MMAF","","Yes","Category 1","False","IDNMPA","","True"
"Indonesia","1013700","Pasuruan District Marine Conservation Area","112.93000000","-7.64000000","District Marine Conservation Area","SK Bupati Nomor 523/513/HK/424.013/2012","Local","Marine","Designated","2012-01-01",4073.74,0.00,"Yes","Unknown","Unknown","East Java","Yes","Unknown",,"EKKP3K","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1013600","Boalemo Marine Conservation Area","122.26010800","0.43391000","Province Marine Conservation Area","KEPGUB GORONTALO Nomor 141/24/IV/2019","Provincial","Marine","Designated","2013-01-01",0.00,0.00,"Unknown","Unknown","Unknown","Gorontalo","Unknown","Unknown",,"","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1013500","Kawasan Konservasi Pesisir Dan Pulau-Pulau Kecil Morowali, Morowali Utara, Dan Perairan Sekitarnya Di Provinsi Sulawesi Tengah","122.71485080","-3.15698487","Province Marine Conservation Area","KEPMEN KP NOMOR 52/KEPMEN-KP/2019","Provincial","Marine","Designated","2019-01-12",292910.12,292910.12,"Yes","Unknown","No","Sulawesi Tengah","Yes","Part",,"EVIKA","Strengthened","MMAF","","Yes","Category 2","True","IDNMPA","","True"
"Indonesia","1013300","Kota Tidore Kepulauan Marine Conservation Area","127.62200000","0.41900000","Province Marine Conservation Area","SK WAL Tidore Kepulauan Nomor 72.2 Tahun 2012","Provincial","Marine","Designated","2012-01-01",2810.00,0.00,"Unknown","Unknown","Unknown","North Maluku","Unknown","Unknown",,"","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1013200","Kawasan Konservasi Pesisir Dan Pulau-Pulau Kecil Parigi Moutong, Poso, Tojo Una-Una, Dan Perairan Sekitarnya Di Provinsi Sulawesi Tengah","120.84029160","0.22330746","Province Marine Conservation Area","KEPMEN KP NOMOR 51/KEPMEN-KP/2019","Provincial","Marine","Designated","2019-01-12",137766.95,128689.86,"Yes","Unknown","No","Sulawesi Tengah","Yes","Part",,"EVIKA","Strengthened","MMAF","","Yes","Category 2","True","IDNMPA","","True"
"Indonesia","1013100","Kawasan Konservasi Ketugar Perlang","106.47202370","-2.42745475","Province Marine Protected Area","KEPMENKP NOMOR 108 TAHUN 2023","Provincial","Marine","Designated","2023-01-12",11358.29,11358.29,"Yes","Unknown","No","Kepulauan Bangka Belitung","Yes","Part",,"EVIKA","Strengthened","MMAF","","Yes","Category 2","False","IDNMPA","","True"
"Indonesia","1013000","Lombok Barat (Gili Tangkong, Gili Nanggu dan Gili Sudak) District Marine Conservation Areas","116.08000000","-8.68800000","Province Marine Conservation Area","KEPMENKP No. 93/KEPMEN-KP/2018","Provincial","Marine","Designated","2018-01-01",21132.82,0.00,"Yes","Unknown","Unknown","Nusa Tenggara Barat","Unknown","Unknown",,"EKKP3K","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1012900","Konawe Marine Tourism Park","122.57720947","-3.86114898","Province Marine Conservation Area","KEPGUB SULTRA 725 Tahun 2016 tanggal 30 Desember 2016","Provincial","Marine","Designated","2013-01-25",28340.00,0.00,"Drafted","Unknown","Unknown","Southeast Sulawesi","Unknown","Unknown",,"EKKP3K","Established","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1012800","East Florest Marine Conservation Area","122.95000000","-8.50700000","Province  Marine Conservation Area","KEPGUB NTT No. 116/KEP/HK/2018","Provincial","Marine","Designated","2013-06-03",150000.00,0.00,"Unknown","Unknown","Unknown","Nusa Tenggara Timur","Unknown","Unknown",,"","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1012700","Lembata Marine Conservation Area","123.64000000","-8.32100000","Province Marine Conservation Area","SK Bupati Nomor 420 Tahun 2012","Provincial","Marine","Designated","2012-10-26",225624.00,0.00,"Drafted","Unknown","Unknown","Nusa Tenggara Timur","Unknown","Unknown",,"EKKP3K","Unknown","MMAF","","Yes","Category 1","False","","","False"
"Indonesia","1012600","Situbondo Marine Conservation Area","113.82247925","-7.68495286","Province Marine Conservation Area","KEPGUB JATIM Nomor 188/569/KPTS/013/2018 tanggal 10 Oktober 2018","Local","Marine","Designated","2018-10-10",123.18,0.00,"Yes","Unknown","Unknown","East Java","Yes","Unknown",,"EKKP3K","Unknown","MMAF","","Yes","Category 1","False","","","False"
